id.producto;producto;marca;especificacion;nombre
283;Melón Orange;;1 kg.;Melón Orange,  1.0 kilogramos
284;Melón Piel de Sapo;;1 kg.;Melón Piel de Sapo,  1.0 kilogramos
285;Melón Reticulado;;1 kg.;Melón Reticulado,  1.0 kilogramos
286;Naranja Navel;;1 kg.;Naranja Navel,  1.0 kilogramos
287;Naranja Valencia;;1 kg.;Naranja Valencia,  1.0 kilogramos
288;Pera Francesa;;1 kg.;Pera Francesa,  1.0 kilogramos
289;Pera Packams;;1 kg.;Pera Packams,  1.0 kilogramos
290;Pera Williams;;1 kg.;Pera Williams,  1.0 kilogramos
291;Pomelo Blanco;;1 kg.;Pomelo Blanco,  1.0 kilogramos
292;Pomelo Rojo;;1 kg.;Pomelo Rojo,  1.0 kilogramos
293;Sandía;;1 kg.;Sandía Pulpa Roja,  1.0 kilogramos
294;Uva Blanca;;1 kg.;Uva Blanca,  1.0 kilogramos
295;Uva Moscatel;;1 kg.;Uva Moscatel,  1.0 kilogramos
296;Uva Negra;;1 kg.;Uva Negra,  1.0 kilogramos
297;Uva Rosada;;1 kg.;Uva Rosada,  1.0 kilogramos
298;Cuadernola ;Papiros;100 hojas;Cuadernola Papiros Tapa Blanda,  100.0 hojas
299;Cuadernola ;Papiros;70 hojas;Cuadernola Papiros Tapa Blanda,  70.0 hojas
300;Cuadernola ;Extreme;96 hojas;Cuadernola Extreme Tapa Blanda,  96.0 hojas
301;Cuadernola ;Extreme;70 hojas;Cuadernola Extreme Tapa Blanda,  70.0 hojas
